zip,lat,lng,state
02464,42.36599,-71.221849,MA
02465,42.378145,-71.213199,MA
02466,42.346696,-71.224957,MA
02467,42.357564,-71.211649,MA
02468,42.327146,-71.231534,MA
02471,42.446396,-71.459405,MA
02472,42.363096,-71.201398,MA
02474,42.417595,-71.159696,MA
02475,42.446396,-71.459405,MA
02476,42.379146,-71.184299,MA
02477,42.446396,-71.459405,MA
02478,42.412795,-71.204399,MA
02479,42.446396,-71.459405,MA
02481,42.310597,-71.274652,MA
02482,42.294546,-71.299201,MA
02492,42.279797,-71.25006,MA
02493,42.375925,-71.227208,MA
02494,42.300147,-71.26315,MA
02495,42.446396,-71.459405,MA
02532,41.745505,-70.590471,MA
02534,41.669373,-70.62337,MA
02535,41.379034,-70.673082,MA
02536,41.662506,-70.562843,MA
02537,41.72832,-70.439975,MA
02538,41.77544,-70.660562,MA
02539,41.401176,-70.552054,MA
02540,41.614199,-70.493263,MA
02541,41.799312,-70.308662,MA
02542,41.65308,-70.553727,MA
02543,41.593809,-70.646442,MA
02552,41.379836,-70.643092,MA
02553,41.67336,-70.608047,MA
02554,41.287647,-70.08665,MA
02556,41.652967,-70.375475,MA
02557,41.417376,-70.560032,MA
02558,41.74756,-70.658164,MA
02559,41.694771,-70.622769,MA
02561,41.770254,-70.533664,MA
02562,41.793263,-70.519584,MA
02563,41.711291,-70.477482,MA
02564,41.273949,-70.015545,MA
02565,41.799312,-70.308662,MA
02568,41.41595,-70.595235,MA
02571,41.760216,-70.694662,MA
02573,41.379836,-70.643092,MA
02574,41.603946,-70.638189,MA
02575,41.42125,-70.642806,MA
02576,41.769863,-70.749688,MA
02584,41.277794,-70.046019,MA
02601,41.829813,-70.138834,MA
02630,41.697313,-70.301394,MA
02631,41.852997,-70.044462,MA
02632,41.796311,-70.175129,MA
02633,41.859559,-70.0468,MA
02634,41.799312,-70.308662,MA
02635,41.624341,-70.43638,MA
02636,41.799312,-70.308662,MA
02637,41.701438,-70.277212,MA
02638,41.725716,-70.089142,MA
02639,41.750745,-70.071836,MA
02641,41.734713,-70.20467,MA
02642,41.850612,-70.020648,MA
02643,41.784308,-69.962034,MA
02644,41.790031,-70.268632,MA
02645,41.835582,-70.043359,MA
02646,41.845717,-70.053544,MA
02647,41.635004,-70.306336,MA
02648,41.813034,-70.246666,MA
02649,41.788337,-70.253543,MA
02650,41.73497,-70.029065,MA
02651,41.824264,-69.98176,MA
02652,41.931061,-70.283584,MA
02653,41.852933,-70.01539,MA
02655,41.810178,-70.191269,MA
02657,41.888775,-70.091057,MA
02659,41.848932,-70.030194,MA
02660,41.80038,-70.089244,MA
02661,41.686205,-70.032858,MA
02662,41.756694,-69.984123,MA
02663,41.800531,-70.076776,MA
02664,41.82412,-70.084259,MA
02666,41.987377,-70.047163,MA
02667,41.821307,-70.022806,MA
02668,41.79055,-70.201719,MA
02669,41.698721,-70.004937,MA
02670,41.710855,-70.072195,MA
02671,41.846719,-70.038282,MA
02672,41.635635,-70.323307,MA
02673,41.776105,-70.150512,MA
02675,41.716271,-70.135884,MA
02702,41.782993,-71.017328,MA
02703,41.938976,-71.302297,MA
02712,41.756214,-71.067062,MA
02713,41.42178,-70.931309,MA
02714,41.756214,-71.067062,MA
02715,41.817659,-71.151787,MA
02717,41.747358,-70.978947,MA
02718,41.871407,-71.013148,MA
02719,41.631672,-70.870045,MA
02720,41.819766,-71.165971,MA
02721,41.678895,-71.153648,MA
02722,41.756214,-71.067062,MA
02723,41.693802,-71.133088,MA
02724,41.684202,-71.175139,MA
02725,41.723851,-71.173989,MA
02726,41.757951,-71.153639,MA
02738,41.736735,-70.754015,MA
02739,41.664976,-70.810856,MA
02740,41.633416,-70.951045,MA
02741,41.756214,-71.067062,MA
02742,41.619557,-70.956346,MA
02743,41.711894,-70.908286,MA
02744,41.609354,-70.916181,MA
02745,41.7087,-70.946883,MA
02746,41.665704,-70.943021,MA
02747,41.639261,-71.007578,MA
02748,41.566464,-70.984253,MA
02760,41.964376,-71.326448,MA
02761,41.756214,-71.067062,MA
02762,42.013553,-71.334399,MA
02763,41.972584,-71.308229,MA
02764,41.847791,-71.155797,MA
02766,41.959149,-71.180393,MA
02767,41.9367,-71.048941,MA
02768,41.756214,-71.067062,MA
02769,41.852989,-71.243061,MA
02770,41.751812,-70.846041,MA
02771,41.840103,-71.318995,MA
02777,41.766629,-71.234443,MA
02779,41.828249,-71.064135,MA
02780,41.858851,-71.092827,MA
02783,41.756214,-71.067062,MA
02790,41.61547,-71.079636,MA
02791,41.519104,-71.085137,MA
02801,41.530131,-71.284066,RI
02802,41.954098,-71.462053,RI
02804,41.322365,-71.679251,RI
02806,41.742501,-71.320395,RI
02807,41.188888,-71.577696,RI
02808,41.403784,-71.761665,RI
02809,41.678378,-71.2704,RI
02812,41.469148,-71.675092,RI
02813,41.395079,-71.66542,RI
02814,41.888971,-71.688769,RI
02815,41.770525,-71.65585,RI
02816,41.694251,-71.636786,RI
02817,41.631168,-71.667165,RI
02818,41.64335,-71.478002,RI
02822,41.5469,-71.650262,RI
02823,41.7312,-71.546756,RI
02824,42.000248,-71.563057,RI
02825,41.790569,-71.70644,RI
02826,41.982417,-71.600848,RI
02827,41.691676,-71.727467,RI
02828,41.879298,-71.551682,RI
02829,41.879298,-71.589357,RI
02830,41.97239,-71.648502,RI
02831,41.753594,-71.577746,RI
02832,41.509632,-71.733875,RI
02833,41.475117,-71.772617,RI
02835,41.51412,-71.377247,RI
02836,41.447427,-71.620432,RI
02837,41.510257,-71.16634,RI
02838,41.967848,-71.475604,RI
02839,41.941715,-71.637581,RI
02840,41.487552,-71.327084,RI
02841,41.498977,-71.299004,RI
02842,41.519757,-71.273101,RI
02852,41.586851,-71.464801,RI
02854,41.375317,-71.64393,RI
02857,41.838827,-71.655006,RI
02858,41.962303,-71.647542,RI
02859,41.96415,-71.723316,RI
02860,41.875149,-71.392732,RI
02861,41.878249,-71.369899,RI
02862,41.86125,-71.369099,RI
02863,41.889849,-71.394186,RI
02864,41.949498,-71.43269,RI
02865,41.925298,-71.493355,RI
02871,41.58523,-71.264197,RI
02872,41.707119,-71.286834,RI
02873,41.519922,-71.774023,RI
02874,41.478466,-71.471752,RI
02875,41.456039,-71.635474,RI
02876,41.998398,-71.576307,RI
02877,41.5289,-71.529854,RI
02878,41.61018,-71.175183,RI
02879,41.443653,-71.534202,RI
02880,41.375317,-71.64393,RI
02881,41.482901,-71.524317,RI
02882,41.377185,-71.497793,RI
02883,41.375317,-71.64393,RI
02885,41.727451,-71.257492,RI
02886,41.70247,-71.47902,RI
02887,41.682455,-71.557732,RI
02888,41.7473,-71.411088,RI
02889,41.689182,-71.496048,RI
02891,41.284494,-71.710708,RI
02892,41.505764,-71.62114,RI
02893,41.696822,-71.507304,RI
02894,41.45005,-71.70742,RI
02895,41.984598,-71.51939,RI
02896,41.934348,-71.540506,RI
02898,41.504089,-71.662954,RI
02901,41.82275,-71.414451,RI
02902,41.81835,-71.424851,RI
02903,41.819459,-71.4115,RI
02904,41.85414,-71.437752,RI
02905,41.803799,-71.422547,RI
02906,41.8374,-71.394717,RI
02907,41.797065,-71.425501,RI
02908,41.837399,-71.4399,RI
02909,41.820599,-71.444302,RI
02910,41.7917,-71.435251,RI
02911,41.838749,-71.449202,RI
02912,41.826737,-71.397699,RI
02914,41.813429,-71.363348,RI
02915,41.7743,-71.349697,RI
02916,41.842727,-71.355798,RI
02917,41.853899,-71.497804,RI
02918,41.841499,-71.440352,RI
02919,41.870932,-71.497604,RI
02920,41.7693,-71.471353,RI
02921,41.76675,-71.476703,RI
02940,41.871766,-71.558518,RI
03031,42.87474,-71.629365,NH
03032,42.989151,-71.343576,NH
03033,42.847268,-71.767437,NH
03034,43.059283,-71.305437,NH
03036,42.961606,-71.251021,NH
03037,42.987495,-71.252719,NH
03038,42.950825,-71.197169,NH
03040,43.005895,-71.013202,NH
